Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z
06:15.2,0 days 00:19:10.529000,,1.553112073,0 days 00:06:05.762000,9785,96,2,0,TRUE,8,car,14283.21694,0.156464484,OnTrack,-998.5091917,-985.0352904,674.988941
06:15.3,0 days 00:19:10.585000,,1.552876483,0 days 00:06:05.818000,9425,90,2,0,TRUE,8,pos,14284.52528,0.156478816,OnTrack,-989,-999,674
06:15.6,0 days 00:19:10.885000,,1.552640893,0 days 00:06:06.118000,9065,85,2,0,TRUE,8,pos,14291.12751,0.15655114,OnTrack,-943,-1056,669
06:15.6,0 days 00:19:10.890000,,1.552405303,0 days 00:06:06.123000,8705,80,1,0,TRUE,8,car,14291.23917,0.156552363,OnTrack,-942.255319,-1056.803732,668.9105818
06:15.7,0 days 00:19:11.045000,,1.552051918,0 days 00:06:06.278000,8291,80,1,0,TRUE,8,pos,14294.68932,0.156590157,OnTrack,-919,-1080,666
06:15.7,0 days 00:19:11.050000,,1.551698533,0 days 00:06:06.283000,7878,80,1,0,TRUE,8,car,14294.79472,0.156591312,OnTrack,-918.2334305,-1080.683991,665.9039899
06:15.9,0 days 00:19:11.266000,,1.551462943,0 days 00:06:06.499000,7430,74,1,0,TRUE,8,pos,14298.83191,0.156635537,OnTrack,-884,-1106,662
06:16.2,0 days 00:19:11.526000,,1.551227353,0 days 00:06:06.759000,6982,68,1,0,TRUE,8,pos,14302.99663,0.156681159,OnTrack,-842,-1125,660
06:16.2,0 days 00:19:11.530000,,1.550991763,0 days 00:06:06.763000,6534,62,1,0,TRUE,8,car,14303.06139,0.156681869,OnTrack,-841.3925631,-1125.215143,659.998171
06:16.3,0 days 00:19:11.586000,,1.550638378,0 days 00:06:06.819000,6331,60,1,0,TRUE,8,pos,14303.97049,0.156691827,OnTrack,-833,-1128,660
06:16.5,0 days 00:19:11.770000,,1.550284993,0 days 00:06:07.003000,6129,58,1,0,FALSE,8,car,14306.92806,0.156724226,OnTrack,-804.2191831,-1132.758324,658.3821583
06:16.5,0 days 00:19:11.806000,,1.549931608,0 days 00:06:07.039000,6025,56,1,0,FALSE,8,pos,14307.48178,0.156730291,OnTrack,-798,-1132,658
06:16.6,0 days 00:19:11.930000,,1.549578223,0 days 00:06:07.163000,5922,54,1,0,FALSE,8,car,14309.32806,0.156750516,OnTrack,-774.6611585,-1123.992019,656.8513536
06:16.8,0 days 00:19:12.086000,,1.549224838,0 days 00:06:07.319000,5562,52,1,0,FALSE,8,pos,14311.56029,0.156774969,OnTrack,-749,-1109,656
06:16.9,0 days 00:19:12.170000,,1.548871453,0 days 00:06:07.403000,5202,51,1,0,FALSE,8,car,14312.72806,0.156787761,OnTrack,-741.3265037,-1102.556716,655.9413553
