Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z
07:06.3,0 days 00:20:01.645000,3,209.6413889,0 days 00:05:12.424000,6614,51,1,21,FALSE,8,pos,11090.32281,0.310388002,OnTrack,-766,-927,641
07:06.5,0 days 00:20:01.770000,3,213.4747222,0 days 00:05:12.549000,7020,53,1,28,FALSE,8,car,11092.19583,0.310440423,OnTrack,-774,-911,639
07:06.6,0 days 00:20:01.885000,3,218.2580556,0 days 00:05:12.664000,7292,55,1,34,FALSE,8,pos,11093.98491,0.310490494,OnTrack,-785,-896,638
07:06.7,0 days 00:20:02.050000,3,223.0413889,0 days 00:05:12.829000,7564,58,1,40,FALSE,8,car,11096.70694,0.310566676,OnTrack,-801,-874,634
07:06.8,0 days 00:20:02.145000,3,227.9238889,0 days 00:05:12.924000,8195,62,1,43,FALSE,8,pos,11098.3888,0.310613747,OnTrack,-812,-862,633
07:07.0,0 days 00:20:02.329000,3,232.8063889,0 days 00:05:13.108000,8827,67,1,47,FALSE,8,car,11101.89944,0.310712,OnTrack,-834,-836,629
07:07.1,0 days 00:20:02.385000,3,236.5100926,0 days 00:05:13.164000,9214,70,1,51,FALSE,8,pos,11103.03945,0.310743906,OnTrack,-841,-829,629
07:07.3,0 days 00:20:02.625000,3,240.2137963,0 days 00:05:13.404000,9602,74,1,56,FALSE,8,pos,11108.28148,0.310890616,OnTrack,-876,-792,625
07:07.3,0 days 00:20:02.649000,3,243.9175,0 days 00:05:13.428000,9990,78,1,61,FALSE,8,car,11108.83278,0.310906046,OnTrack,-881,-786,624
07:07.5,0 days 00:20:02.785000,3,247.2786111,0 days 00:05:13.564000,10067,82,1,62,FALSE,8,pos,11112.05245,0.310996155,OnTrack,-918,-748,619
07:07.5,0 days 00:20:02.849000,3,250.6397222,0 days 00:05:13.628000,10145,87,1,63,FALSE,8,car,11113.66611,0.311041317,OnTrack,-930,-735,617
07:07.8,0 days 00:20:03.105000,3,255.8841667,0 days 00:05:13.884000,9285,94,1,31,FALSE,8,pos,11120.81806,0.311241481,OnTrack,-959,-704,614
07:07.9,0 days 00:20:03.169000,3,261.1286111,0 days 00:05:13.948000,8426,101,2,0,TRUE,8,car,11122.64389,0.311292581,OnTrack,-968,-691,612
07:08.0,0 days 00:20:03.325000,3,264.5902778,0 days 00:05:14.104000,8261,100,2,0,TRUE,8,pos,11127.01626,0.311414952,OnTrack,-995,-655,610
07:08.1,0 days 00:20:03.370000,3,268.0519444,0 days 00:05:14.149000,8096,100,2,0,TRUE,8,car,11128.22722,0.311448843,OnTrack,-1001,-645,609
07:08.3,0 days 00:20:03.605000,3,273.4575,0 days 00:05:14.384000,7946,95,2,0,TRUE,8,pos,11134.12893,0.311614016,OnTrack,-1022,-592,607
07:08.3,0 days 00:20:03.650000,3,278.8630556,0 days 00:05:14.429000,7796,90,2,0,TRUE,8,car,11135.22722,0.311644754,OnTrack,-1023,-576,606
07:08.5,0 days 00:20:03.846000,3,282.8630556,0 days 00:05:14.625000,7621,88,2,0,TRUE,8,pos,11139.96571,0.311777372,OnTrack,-1025,-504,603
